"","sens_28_spec_89","sens_57_spec_80","sens_64_spec_76","sens_70_spec_70","sens_75_spec_66","sens_88_spec_63","sens_90_spec_58","sens_95_spec_19","sens_100_spec_3"
"306",26803.6554649993,26967.251143067,26992.4220504556,27023.775166272,27041.0380225819,27092.6799346157,27108.8099998794,27190.8973377391,27232.1813677268
"307",24676.8971446594,24871.1503174332,24965.3302538633,25015.569240457,25059.1650854692,25137.6873805374,25181.1169783933,25290.6921776819,25329.5381490321
"308",39406.7239295003,39667.58006126,39686.0791535791,39738.4201156832,39818.6329989431,39879.0050180518,39891.4070701472,39983.3221432478,40023.873827886
"309",28585.2178262587,28778.2208698354,28845.2474505629,28885.7261244865,28917.7772271229,29013.8552748808,29029.0945948236,29132.1872722318,29173.2201053743
"310",40183.9609402593,40291.1526845341,40347.1515935293,40401.3787331644,40421.7758289647,40498.9691745193,40541.5334750582,40624.4048235761,40693.2733171852
"311",41554.4255759249,41621.8919182419,41672.7142397061,41695.9578574978,41713.5688940385,41764.5513226924,41782.9578223775,41877.9639464255,41942.1132587619
"312",38410.9168020163,38589.924129791,38623.4001156401,38653.0155681244,38686.6516735025,38870.9312148116,38883.5815165755,38997.7428750701,39074.3689290828
"313",32169.0995823568,32397.8423139289,32430.6009367038,32465.8312534628,32501.9376269089,32608.7985739206,32639.3546700199,32750.8187833016,32809.0583766512
"314",35825.3908365215,36037.7682514708,36072.0398447714,36127.1547871052,36172.0567553061,36257.9982556748,36291.9490189047,36381.4212181479,36421.1768330367
"315",40700.0796825216,40797.3762552557,40827.1128046554,40880.1943989331,40910.7489495666,40963.844079075,40979.9808498088,41090.5562801659,41125.0352128947
"316",36387.8529599013,36491.1186052654,36532.5092175677,36580.4645880137,36595.9748698015,36627.7166036337,36640.3198248256,36744.6408487303,36801.837527625
"317",45002.1798454916,45135.9650415038,45161.1251218606,45216.9528217563,45232.9218394054,45276.0120115025,45315.4450041367,45408.1328660152,45494.777717989
"318",30897.905700341,31126.7197204454,31175.3850636703,31204.128627234,31243.8966974865,31291.8900080754,31303.9926853773,31403.6743243059,31492.8317239782
"319",48583.4165759948,48778.9333385473,48825.4652695894,48879.968410858,48899.4952482911,49003.0091124206,49018.4074373897,49138.5361198372,49228.0884124165
"320",37769.786643876,37861.9562863514,37889.3683284678,37929.4936365015,37949.4943740006,38005.817961348,38021.6360000572,38131.7431254301,38172.3493798636
"321",34082.1201145415,34224.9731702478,34267.0097984663,34292.1012582257,34317.7321648275,34362.3986462313,34375.6068132131,34481.6491882452,34528.9943295769
"322",37872.9209911384,38059.0921231429,38108.3719077218,38141.4752571931,38201.927743244,38247.9696175051,38273.9690811931,38362.793278643,38398.895140337
"323",24953.6346929858,25142.4843457362,25159.0959649061,25183.8330737067,25199.3965786704,25236.4515987843,25254.9936464213,25340.4948206191,25396.4264379035
"324",54145.8703193942,54388.2297283856,54423.9928342309,54499.6284875076,54529.2456938839,54577.4895513887,54595.3079319971,54714.1164685553,54841.385378722
"325",27366.3854575118,27490.1000282956,27554.7194434718,27609.0122118052,27663.8032758973,27746.1437498041,27762.5085339356,27865.1611255183,27940.2029422755
"326",33614.6098141777,33804.1633634367,33832.6861008765,33899.9892437147,33950.9749772507,34053.3588973723,34084.1356821105,34171.0621291927,34211.1707287194
"327",34652.8784996438,34771.9776235261,34824.3777075336,34851.8155333777,34892.6490457255,34973.6242852115,34994.2775136078,35105.8809507683,35144.9409489519
"328",36099.5708643505,36177.1744709558,36210.8880789142,36232.2954653843,36293.7359751672,36357.420857829,36404.571169538,36488.9425595642,36550.7069250663
"329",23900.3863307976,24000.8612558351,24031.3619972371,24072.6206580568,24095.1398034881,24120.6265563,24133.85355091,24221.0672298916,24258.3490332638
"330",39760.258793016,39949.3529453951,39969.1807565275,39988.7086128274,40007.7934605148,40059.5270802068,40096.767388299,40177.4989185382,40244.730680721
"331",35686.250683473,35969.0723930479,35986.5013141964,36049.7290587599,36068.0407737654,36206.6352080475,36239.4686527226,36331.037733893,36413.7412770356
"332",38669.4909118732,38777.6568167707,38818.8600636974,38864.0958683956,38881.2975889502,38932.3381851912,38945.9530316325,39042.9402677114,39103.4511951963
"333",47403.7255071223,47497.3511304453,47531.1358606841,47551.9777838705,47569.2132266905,47639.5341016512,47655.9128244765,47734.7089038178,47775.8542688566
"334",37782.7096628957,37899.237862697,37928.064096134,37948.572199972,37979.9171168858,38023.9431309539,38056.4728744926,38159.7340687431,38226.2164475186
"335",28436.8576123594,28644.2841860829,28693.919288961,28712.7074183635,28758.9560811988,28866.868999468,28882.0013219599,28997.0069390949,29050.5941227749
"336",32708.2183439617,32860.1889112466,32899.5976748015,32964.3513097723,32981.0980040192,33091.4181599533,33137.572813409,33224.4506018422,33328.4181593513
"337",32653.413539022,32833.5530485496,32854.4840722382,32893.6515496105,32914.8490526609,32942.3475802629,32958.3856391721,33043.0544378398,33120.7688120854
"338",36506.6094331847,36697.6529003085,36720.9028460119,36798.7582504045,36815.5729484836,36860.4257985411,36886.701045207,36978.5055736812,37023.3390007801
"339",38129.0760474679,38278.9509133497,38341.0349219891,38390.8214420214,38424.8802184245,38539.2837484596,38550.1957534867,38668.9243996795,38725.0181703404
"340",32957.136693769,33087.0045220963,33109.5526963237,33147.4421195287,33161.9667868278,33189.7391081827,33202.9093022012,33300.4215012024,33342.1955980141
"341",38860.2913470341,38986.8639429744,39055.7672397607,39089.7134341721,39137.8101482315,39181.7101662481,39197.5781674184,39286.2546929378,39353.790158219
"342",31120.6182621641,31222.0730359712,31239.1740251652,31275.7354913373,31294.8606585002,31383.1181976732,31400.2065776424,31530.0833908238,31573.1652831255
