,LAS_sens_nonElderly,LAS_spec_nonElderly,MATTS_sens_nonElderly,MATTS_spec_nonElderly,WMAS_sens_nonElderly,WMAS_spec_nonElderly,YAS_sens_nonElderly,YAS_spec_nonElderly,SWAST_sens_nonElderly,SWAST_spec_nonElderly,LAS_sens_Elderly,LAS_spec_Elderly,MATTS_sens_Elderly,MATTS_spec_Elderly,WMAS_sens_Elderly,WMAS_spec_Elderly,YAS_sens_Elderly,YAS_spec_Elderly,SWAST_sens_Elderly,SWAST_spec_Elderly
62,0.672588832,0.832046332,0.52284264,0.94015444,0.586294416,0.864864865,0.583756345,0.832046332,0.456852792,0.94015444,0.397877984,0.880093132,0.24403183,0.976717113,0.318302387,0.895227008,0.381962865,0.880093132,0.196286472,0.958090803
63,0.663212435,0.844106464,0.523316062,0.942965779,0.577720207,0.899239544,0.554404145,0.844106464,0.46373057,0.960076046,0.418994413,0.88952164,0.262569832,0.969248292,0.343575419,0.894077449,0.407821229,0.88952164,0.226256983,0.949886105
64,0.677835052,0.847328244,0.50257732,0.935114504,0.569587629,0.86259542,0.569587629,0.847328244,0.458762887,0.948473282,0.485207101,0.877505568,0.292899408,0.971046771,0.402366864,0.908685969,0.461538462,0.877505568,0.278106509,0.95545657
65,0.64229765,0.824196597,0.433420366,0.924385633,0.55613577,0.852551985,0.595300261,0.824196597,0.38381201,0.924385633,0.423684211,0.878504673,0.242105263,0.96728972,0.392105263,0.88317757,0.413157895,0.878504673,0.257894737,0.964953271
66,0.672043011,0.82037037,0.454301075,0.907407407,0.588709677,0.85,0.596774194,0.82037037,0.427419355,0.935185185,0.443526171,0.873997709,0.280991736,0.971363116,0.371900826,0.882016037,0.432506887,0.873997709,0.239669421,0.958762887
67,0.704787234,0.824626866,0.507978723,0.927238806,0.609042553,0.860074627,0.625,0.824626866,0.462765957,0.936567164,0.399425287,0.881756757,0.235632184,0.958333333,0.301724138,0.885135135,0.382183908,0.881756757,0.221264368,0.948198198
68,0.625,0.840384615,0.448979592,0.965384615,0.512755102,0.867307692,0.543367347,0.840384615,0.382653061,0.963461538,0.436842105,0.898364486,0.276315789,0.966121495,0.342105263,0.912383178,0.421052632,0.898364486,0.263157895,0.955607477
69,0.659574468,0.838445808,0.482269504,0.952965235,0.61465721,0.867075665,0.579196217,0.838445808,0.432624113,0.959100204,0.399463807,0.876013905,0.217158177,0.962920046,0.332439678,0.885283893,0.386058981,0.876013905,0.227882038,0.961761298
70,0.67012987,0.812144213,0.524675325,0.918406072,0.592207792,0.855787476,0.579220779,0.812144213,0.457142857,0.931688805,0.416438356,0.866819747,0.24109589,0.965556831,0.304109589,0.893226177,0.408219178,0.866819747,0.21369863,0.967853042
71,0.682539683,0.842696629,0.481481481,0.941947566,0.571428571,0.88576779,0.595238095,0.842696629,0.423280423,0.936329588,0.396600567,0.8799547,0.23796034,0.963759909,0.328611898,0.893544734,0.379603399,0.8799547,0.212464589,0.951302378
72,0.64037123,0.810810811,0.464037123,0.925155925,0.540603248,0.858627859,0.56612529,0.810810811,0.380510441,0.925155925,0.449848024,0.858875413,0.270516717,0.964718853,0.386018237,0.884233738,0.425531915,0.858875413,0.240121581,0.952590959
